k,t_wall(s),T(s),J(s)
357,9980.058172323,0.049961135,-0.000038865
358,9980.108209467,0.050037144,0.000037144
359,9980.158173293,0.049963826,-0.000036174
360,9980.208209301,0.050036008,0.000036008
361,9980.258206745,0.049997444,-0.000002556
362,9980.308208718,0.050001973,0.000001973
363,9980.358207440,0.049998722,-0.000001278
364,9980.408169806,0.049962366,-0.000037634
365,9980.458206929,0.050037123,0.000037123
366,9980.508208257,0.050001328,0.000001328
367,9980.558206457,0.049998200,-0.000001800
368,9980.608208878,0.050002421,0.000002421
369,9980.658211170,0.050002292,0.000002292
370,9980.708209284,0.049998114,-0.000001886
371,9980.758207085,0.049997801,-0.000002199
372,9980.808209034,0.050001949,0.000001949
373,9980.858203272,0.049994238,-0.000005762
374,9980.908169586,0.049966314,-0.000033686
375,9980.958209083,0.050039497,0.000039497
376,9981.008175413,0.049966330,-0.000033670
377,9981.058208596,0.050033183,0.000033183
378,9981.108162217,0.049953621,-0.000046379
379,9981.158209000,0.050046783,0.000046783
380,9981.208172343,0.049963343,-0.000036657
381,9981.258172592,0.050000249,0.000000249
382,9981.308166923,0.049994331,-0.000005669
383,9981.358169747,0.050002824,0.000002824
384,9981.408169481,0.049999734,-0.000000266
385,9981.458170616,0.050001135,0.000001135
386,9981.508170035,0.049999419,-0.000000581
387,9981.558166967,0.049996932,-0.000003068
388,9981.608167529,0.050000562,0.000000562
389,9981.658167269,0.049999740,-0.000000260
390,9981.708167346,0.050000077,0.000000077
391,9981.758164801,0.049997455,-0.000002545
392,9981.808166492,0.050001691,0.000001691
393,9981.858211883,0.050045391,0.000045391
